Row ID,Order ID,Order Date,Order (M/Y),Quantity, Quote ,Discount %, Rate , Sale Amount ,Customer Name,Company Name,Sector,Industry,City,Zip Code,Country,Region,Project Complete Date,Days to Complete,Product Key,Product Category,Product Sub Category,Consultant,Manager,Hourly Wage,RowCount,Wage Margin
1,3,10/1/13,10/1/13,6," $1,872 ",4%, $312 ," $1,797.41 ",Muhammed MacIntyre,CA Inc.,Technology,Computer Software: Prepackaged Software,Highland Park,60035,Denmark,West,10/20/13,19,Development - Big Data,Development,Big Data,Ethan Bird,Bob Turner,60,1,81%
2,6,2/1/15,2/1/15,2, $320 ,1%, $160 , $316.81 ,Ruben Staebel,Celgene Corporation,Health Care,Major Pharmaceuticals,Edmonds,98026,Malta,South,2/21/15,20,Development - Front End Web,Development,Front End Web,Isabella Douglas,Frank Mitchell,75,1,53%
3,32,7/1/14,7/1/14,26," $5,849 ",7%, $225 ," $5,439.18 ",Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Netherlands,West,7/17/14,16,Training - SQL,Training,SQL,Isabella Douglas,Bob Turner,75,1,67%
4,32,7/1/14,7/1/14,24," $5,677 ",9%, $237 ," $5,166.16 ",Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Latvia,North,7/16/14,15,Training - Javascript,Training,Javascript,Olivia Sullivan,#N/A,53,1,78%
5,32,7/1/14,7/1/14,23," $6,721 ",4%, $292 ," $6,452.59 ",Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Greece,South,7/17/14,16,Consulting - Market Research,Consulting,Market Research,Abigail Young,Frank Mitchell,50,1,83%
6,32,7/1/14,7/1/14,15," $3,055 ",4%, $204 ," $2,932.88 ",Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,High Point,27260,Bulgaria,Central,7/16/14,15,Consulting - Business Model,Consulting,Business Model,Emily Taylor,Josh Martinez,62,1,70%
7,35,10/1/14,10/1/14,30," $4,324 ",3%, $144 ," $4,194.08 ",Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,UnitedKingdom,West,10/23/14,22,Development - Business Logic,Development,Business Logic,William Bufont,Bob Turner,62,1,57%
8,35,10/1/14,10/1/14,14," $4,091 ",1%, $292 ," $4,050.40 ",Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,Cyprus,South,10/24/14,23,Consulting - Market Research,Consulting,Market Research,Emma Watson,Frank Mitchell,67,1,77%
9,36,11/1/14,11/1/14,46," $13,443 ",10%, $292 ," $12,098.60 ",Sample Manning,Cognizant Technology Solutions Corporation,Technology,EDP Services,Albany,97321,CzechRepublic,Central,11/2/14,1,Consulting - Market Research,Consulting,Market Research,Mia Moore,Josh Martinez,51,1,83%
10,65,3/1/14,3/1/14,32," $6,518 ",2%, $204 ," $6,387.17 ",Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pflugerville,78660,Lithuania,North,3/18/14,17,Consulting - Business Model,Consulting,Business Model,Michael Alister,#N/A,68,1,67%
11,66,1/1/12,1/1/12,41," $5,909 ",9%, $144 ," $5,377.36 ",Arthur Nelson,Linear Technology Corporation,Technology,Semiconductors,Santa Fe,87505,Estonia,North,1/19/12,18,Development - Business Logic,Development,Business Logic,Alexander Edison,#N/A,70,1,51%
12,69,6/1/12,6/1/12,42," $9,448 ",9%, $225 ," $8,597.42 ",Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,Greece,South,6/5/12,4,Training - SQL,Training,SQL,Noah Smith,Frank Mitchell,59,1,74%
13,69,6/1/12,6/1/12,28," $4,036 ",3%, $144 ," $3,914.47 ",Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,Slovenia,Central,6/5/12,4,Development - Business Logic,Development,Business Logic,Ethan Bird,Josh Martinez,60,1,58%
14,70,12/1/13,12/1/13,48," $11,844 ",3%, $247 ," $11,488.51 ",Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,Cyprus,South,12/22/13,21,Development - Database,Development,Database,Sophia Dixon,Frank Mitchell,71,1,71%
