OrderID,OrderDate,Quantity,DiscountPct,Rate,SaleAmount,CustomerName,State,Region,ProductKey,RowCount,ProfitMargin
13729,1/1/09,9,0.08,200,1640.96,Matt Bertelsons,Maryland,East,Development - Big Data,1,0.71
28774,1/1/09,32,0.1,200,5707.67,Jessica Thornton,Pennsylvania,East,Development - Big Data,1,0.78
9285,1/2/09,3,0.06,160,447.11,David O'Rourke,Minnesota,Central,Development - Java,1,0.56
37537,1/2/09,4,0,125,495.47,Alan Brumley,California,West,Training - Development,1,0.5
37537,1/2/09,43,0.07,125,4953.46,Alan Brumley,California,West,Training - Development,1,0.58
37537,1/2/09,32,0.05,200,6024.92,Alan Brumley,California,West,Development - Big Data,1,0.67
44069,1/2/09,16,0.09,110,1587.09,Elizabeth Hansen,California,West,Development - Python,1,0.35
44069,1/2/09,43,0.08,110,4312.18,Elizabeth Hansen,California,West,Development - Python,1,0.54
7909,1/3/09,29,0.03,120,3345.1,Alex Grayson,Oregon,West,Development - Business Logic,1,0.58
9637,1/3/09,12,0.08,150,1641.04,Andy Willingham,Louisiana,South,Consulting - Business Model,1,0.61
9637,1/3/09,49,0.05,150,6919.42,Andy Willingham,Louisiana,South,Consulting - Strategy,1,0.5
9637,1/3/09,12,0.04,110,1255.75,Andy Willingham,Louisiana,South,Development - Python,1,0.39
9762,1/3/09,12,0.05,125,1412.13,Larry Elliston,Utah,West,Training - SQL,1,0.58
11972,1/3/09,4,0,150,594.58,Ann Chapman,Utah,West,Consulting - Strategy,1,0.66
30016,1/3/09,15,0.03,110,1586.04,Bill McGarr,Nebraska,Central,Development - Python,1,0.35
30016,1/3/09,8,0.01,150,1177.27,Bill McGarr,Nebraska,Central,Consulting - Market Research,1,0.7
40354,1/3/09,29,0.03,160,4460.14,Patrick Fjeld,Alabama,South,Development - Java,1,0.63
40354,1/3/09,4,0.09,125,450.89,Patrick Fjeld,Alabama,South,Training - Javascript,1,0.54
8710,1/4/09,17,0.03,160,2614.63,Tamara O'Brill,Texas,Central,Development - Java,1,0.72
8710,1/4/09,42,0.07,110,4257.89,Tamara O'Brill,Texas,Central,Development - Python,1,0.38
49730,1/4/09,3,0.06,125,349.32,Dave Hart,Texas,Central,Training - Development,1,0.46
290,1/5/09,24,0.05,110,2485.47,Dorris Engle,New York,East,Development - Python,1,0.39
1028,1/5/09,6,0.03,150,865.16,Matt Miller,Iowa,Central,Consulting - Business Model,1,0.53
1028,1/5/09,11,0.01,150,1618.82,Matt Miller,Iowa,Central,Consulting - Market Research,1,0.7
25601,1/5/09,43,0.09,200,7755.69,Valerie Bell,Florida,South,Development - Big Data,1,0.65
28451,1/5/09,21,0.01,125,2575.4,Pauline Wardle,Oklahoma,Central,Training - SQL,1,0.53
28451,1/5/09,41,0.02,125,4977.37,Pauline Wardle,Oklahoma,Central,Training - SQL,1,0.44
28451,1/5/09,33,0,150,4905.53,Pauline Wardle,Oklahoma,Central,Consulting - Strategy,1,0.7
32418,1/5/09,5,0.08,125,569.83,Marina Crebassa,Iowa,Central,Training - Development,1,0.46
52386,1/5/09,6,0.08,150,820.56,Susan Harms,Illinois,Central,Consulting - Strategy,1,0.53
57253,1/5/09,43,0.08,125,4900.57,Darren Perrino,Texas,Central,Training - Development,1,0.43
57253,1/5/09,29,0.06,125,3376.88,Darren Perrino,Texas,Central,Training - Development,1,0.58
57253,1/5/09,48,0.07,125,5529.86,Darren Perrino,Texas,Central,Training - SQL,1,0.44
57253,1/5/09,49,0.08,125,5584.37,Darren Perrino,Texas,Central,Training - Javascript,1,0.5
57253,1/5/09,25,0.04,150,3567.65,Darren Perrino,Texas,Central,Consulting - Market Research,1,0.62
59232,1/5/09,23,0,110,2507.27,Robert Jones,Louisiana,South,Development - Python,1,0.55
6854,1/6/09,1,0.07,160,147.47,Victor Hane,Florida,South,Development - Java,1,0.61
6854,1/6/09,19,0.05,125,2236.03,Victor Hane,Florida,South,Training - SQL,1,0.43
14274,1/6/09,23,0.01,125,2820.75,Craig Blumstein,South Carolina,South,Training - Development,1,0.54
14274,1/6/09,46,0.01,200,9026.39,Craig Blumstein,South Carolina,South,Development - Big Data,1,0.74
14274,1/6/09,2,0.03,150,288.39,Craig Blumstein,South Carolina,South,Consulting - Market Research,1,0.5
16770,1/6/09,17,0.03,120,1961.07,Muhammed Kamberova,Virginia,South,Development - Business Logic,1,0.58
16961,1/6/09,27,0.06,150,3772.89,Tracy Hale,Virginia,South,Consulting - Business Model,1,0.55
16961,1/6/09,34,0.01,110,3669.43,Tracy Hale,Virginia,South,Development - Python,1,0.44
23488,1/6/09,29,0.03,120,3345.35,Julia Shagiari,California,West,Development - Business Logic,1,0.58
23488,1/6/09,30,0.04,125,3567.74,Julia Meador,Illinois,Central,Training - Tableau,1,0.46
41094,1/6/09,46,0.09,110,4563.34,Maribeth Becker,Virginia,South,Development - Python,1,0.44
41094,1/6/09,6,0.05,200,1129.79,Maribeth Becker,Virginia,South,Development - Big Data,1,0.74
48226,1/6/09,23,0.02,125,2792.26,Corey Martin,Connecticut,East,Training - Tableau,1,0.5
3073,1/7/09,3,0.05,160,451.93,Jasper Galang,New York,East,Development - Java,1,0.58
3073,1/7/09,3,0.07,150,414.76,Jasper Galang,New York,East,Consulting - Compensation,1,0.61
3073,1/7/09,7,0.07,150,967.77,Jasper Galang,New York,East,Consulting - Strategy,1,0.65
18405,1/7/09,30,0.09,160,4328.97,George Barnes,Texas,Central,Development - Java,1,0.58
18405,1/7/09,2,0.03,150,288.4,George Barnes,Texas,Central,Consulting - Business Model,1,0.59
32295,1/7/09,11,0.07,150,1520.79,Pauline Wardle,Oklahoma,Central,Consulting - Market Research,1,0.55
33923,1/7/09,34,0.05,150,4801.71,Benjamin Schmidt,California,West,Consulting - Market Research,1,0.65
40704,1/7/09,6,0.01,120,706.43,Julie Grinstein,Maine,East,Development - Business Logic,1,0.51
43909,1/7/09,46,0.08,160,6710.7,Chloris Etezadi,Nevada,West,Development - Java,1,0.53
4193,1/8/09,16,0.07,200,2949.48,Sandra Prescott,Ohio,East,Development - Scala,1,0.74
4193,1/8/09,3,0.03,125,360.51,Sandra Prescott,Ohio,East,Training - SQL,1,0.52
7203,1/8/09,25,0.03,160,3845.43,Ruben Staebel,Washington,West,Development - Java,1,0.56
30083,1/8/09,23,0.07,170,3603.9,Luke Dana,South Carolina,South,Development - .Net,1,0.65
8576,1/9/09,43,0,120,5114.15,Cynthia Prichep,California,West,Development - Business Logic,1,0.53
18561,1/9/09,9,0.02,200,1748.33,Joni Visinsky,Oklahoma,Central,Development - Scala,1,0.78
31715,1/9/09,24,0.09,120,2597.51,Mark Steele,Maine,East,Development - Business Logic,1,0.58
31715,1/9/09,11,0.01,160,1726.92,Mark Steele,California,West,Development - Java,1,0.63
31715,1/9/09,44,0.05,120,4971.43,Mark Steele,California,West,Development - Business Logic,1,0.63
40097,1/9/09,47,0.1,120,5030.9,Olvera Holt,Wisconsin,Central,Development - Business Logic,1,0.53
47138,1/9/09,1,0.04,150,142.72,Benjamin Taslimi,Pennsylvania,East,Consulting - Market Research,1,0.65
58343,1/9/09,39,0.07,140,5032.68,Yana Gonzalez,New Jersey,East,Development - Database,1,0.68
14596,1/10/09,24,0.01,125,2943.68,Darren Blumstein,Texas,Central,Training - SQL,1,0.46
14596,1/10/09,19,0.06,120,2124.21,Darren Blumstein,Texas,Central,Development - Business Logic,1,0.41
20037,1/10/09,35,0.02,125,4249.51,Michelle Foster,Kentucky,South,Training - SQL,1,0.58
20037,1/10/09,49,0.03,150,7066.33,Michelle Foster,Kentucky,South,Consulting - Strategy,1,0.5
28290,1/10/09,43,0.05,150,6073.21,Maria Wilson,MO,Central,Consulting - Business Model,1,0.61
28290,1/10/09,3,0.01,200,588.74,Maria Wilson,MO,Central,Development - Big Data,1,0.72
